x y s dx dy
1222.15 1194.34 446.566 0.0315318 -0.999503
1223.11 1194.37 447.526 0.0311303 -0.999515
1224.07 1194.4 448.486 0.0314294 -0.999506
1225.03 1194.43 449.447 0.032429 -0.999474
1225.99 1194.46 450.407 0.0341288 -0.999417
1226.95 1194.49 451.367 0.0365284 -0.999333
1227.9 1194.53 452.328 0.0396271 -0.999215
1228.86 1194.57 453.288 0.0427944 -0.999084
1229.82 1194.61 454.249 0.0439273 -0.999035
1230.78 1194.65 455.21 0.0425878 -0.999093
1231.74 1194.69 456.17 0.0387748 -0.999248
1232.7 1194.73 457.131 0.032485 -0.999472
1233.66 1194.76 458.091 0.0237144 -0.999719
1234.62 1194.78 459.051 0.0124595 -0.999922
1235.58 1194.79 460.011 -0.000639582 -1
1236.54 1194.79 460.971 -0.0126806 -0.99992
1237.5 1194.78 461.931 -0.02284 -0.999739
1238.46 1194.76 462.891 -0.0311173 -0.999516
1239.42 1194.73 463.851 -0.0375145 -0.999296
1240.38 1194.69 464.812 -0.0420343 -0.999116
1241.34 1194.65 465.772 -0.0446795 -0.999001
1242.3 1194.61 466.733 -0.0454517 -0.998967
1243.26 1194.57 467.694 -0.0443516 -0.999016
1244.22 1194.52 468.655 -0.0414599 -0.99914
1245.18 1194.48 469.615 -0.0380513 -0.999276
1246.14 1194.45 470.576 -0.0351384 -0.999382
1247.1 1194.41 471.536 -0.0327497 -0.999464
1248.06 1194.38 472.497 -0.0308855 -0.999523
1249.02 1194.35 473.457 -0.0295463 -0.999563
1249.98 1194.32 474.417 -0.0287321 -0.999587
1250.94 1194.3 475.377 -0.0284431 -0.999595
1251.9 1194.27 476.338 -0.0286794 -0.999589
1252.86 1194.24 477.298 -0.0294395 -0.999567
1253.82 1194.21 478.258 -0.0305026 -0.999535
1254.78 1194.18 479.218 -0.0314001 -0.999507
1255.74 1194.15 480.178 -0.0320723 -0.999486
1256.7 1194.12 481.139 -0.0325192 -0.999471
1257.66 1194.09 482.099 -0.0327409 -0.999464
1258.62 1194.06 483.059 -0.0327373 -0.999464
1259.58 1194.03 484.02 -0.0325086 -0.999471
1260.54 1194 484.98 -0.0320546 -0.999486
1261.5 1193.97 485.94 -0.0313754 -0.999508
1262.46 1193.94 486.901 -0.0305321 -0.999534
1263.42 1193.91 487.861 -0.0299125 -0.999553
1264.38 1193.88 488.821 -0.0296684 -0.99956
1265.34 1193.85 489.782 -0.0298001 -0.999556
1266.3 1193.82 490.742 -0.0303076 -0.999541
1267.26 1193.79 491.702 -0.0311909 -0.999513
1268.22 1193.76 492.663 -0.03245 -0.999473
1269.18 1193.73 493.623 -0.0340849 -0.999419
1270.14 1193.7 494.583 -0.0360955 -0.999348
1271.1 1193.66 495.544 -0.0384681 -0.99926
1272.06 1193.63 496.504 -0.0408511 -0.999165
1273.02 1193.59 497.464 -0.042872 -0.999081
1273.98 1193.55 498.425 -0.0445131 -0.999009
1274.93 1193.5 499.385 -0.0457743 -0.998952
1275.89 1193.46 500.345 -0.0466557 -0.998911
1276.85 1193.41 501.306 -0.0471574 -0.998887
1277.81 1193.37 502.266 -0.0472795 -0.998882
1278.77 1193.32 503.226 -0.0470219 -0.998894
1279.73 1193.28 504.186 -0.0463864 -0.998924
1280.69 1193.23 505.147 -0.0455651 -0.998961
1281.65 1193.19 506.107 -0.0449214 -0.998991
1282.61 1193.15 507.067 -0.0444958 -0.99901
1283.57 1193.1 508.028 -0.0442883 -0.999019
1284.53 1193.06 508.988 -0.0442989 -0.999018
1285.49 1193.02 509.948 -0.0445276 -0.999008
1286.45 1192.98 510.909 -0.0449743 -0.998988
1287.41 1192.93 511.869 -0.0456392 -0.998958
1288.36 1192.89 512.829 -0.0465221 -0.998917
1289.32 1192.84 513.789 -0.0474893 -0.998872
1290.28 1192.8 514.75 -0.048068 -0.998844
1291.24 1192.75 515.71 -0.0481541 -0.99884
1292.2 1192.71 516.67 -0.0477475 -0.998859
1293.16 1192.66 517.63 -0.0468482 -0.998902
1294.12 1192.62 518.591 -0.0454564 -0.998966
1295.08 1192.57 519.551 -0.0435719 -0.99905
1296.04 1192.53 520.511 -0.041195 -0.999151
1297 1192.49 521.472 -0.0383256 -0.999265
1297.96 1192.45 522.432 -0.0351731 -0.999381
1298.92 1192.42 523.393 -0.0331702 -0.99945
1299.88 1192.39 524.354 -0.0329171 -0.999458
